 nodeID, x, y, ux, uy, sx, sy, sxy
53206,139.776,-256.793,0.28807,0.212787,-0.000351176,-0.00214084,-0.000587432
53207,140.85,-256.205,0.284603,0.219125,-0.000338186,-0.00159504,-0.000322814
53208,141.922,-255.613,0.281072,0.225532,-0.000310455,-0.00104541,-0.000143215
53209,142.991,-255.016,0.277475,0.23199,-0.000252569,-0.000497172,-6.19259e-05
53210,144.058,-254.415,0.273813,0.238476,-0.000147182,4.31016e-05,-9.41723e-05
53211,145.123,-253.81,0.270084,0.244961,2.54271e-05,0.000566764,-0.00025802
53212,146.185,-253.199,0.266291,0.251416,0.000131168,0.000823207,-0.000375317
53213,-146.285,-253.373,-0.267357,0.252012,0.000121621,0.000819768,0.000365214
53214,-145.223,-253.984,-0.271148,0.24556,1.46131e-05,0.000576693,0.000249053
53215,-144.157,-254.59,-0.274876,0.239075,-0.000159927,7.79396e-05,8.63233e-05
53216,-143.09,-255.192,-0.278541,0.232589,-0.000266312,-0.000440669,5.30902e-05
53217,-142.019,-255.789,-0.28214,0.226129,-0.000324715,-0.000969834,0.00013167
53218,-140.947,-256.381,-0.285676,0.219718,-0.000352793,-0.00150259,0.000307152
53219,-139.872,-256.969,-0.289148,0.213375,-0.000366179,-0.00203345,0.000566507
53220,-138.794,-257.553,-0.292559,0.207117,-0.000378771,-0.00255793,0.000898141
53221,-137.714,-258.132,-0.295912,0.200959,-0.000402866,-0.00307218,0.00129166
53222,-136.632,-258.707,-0.29921,0.194911,-0.000449231,-0.00357284,0.00173775
53223,-135.547,-259.277,-0.302457,0.188983,-0.000527141,-0.00405696,0.00222801
53224,-134.459,-259.842,-0.305659,0.18318,-0.000644414,-0.00452197,0.00275492
53225,-133.37,-260.403,-0.30882,0.177509,-0.000807467,-0.00496562,0.0033117
53226,-132.278,-260.96,-0.311946,0.171971,-0.00102139,-0.00538604,0.00389223
53227,-131.184,-261.511,-0.315045,0.166569,-0.00129004,-0.00578165,0.00449097
53228,-130.087,-262.059,-0.318121,0.161302,-0.00161615,-0.00615119,0.00510292
53229,-128.988,-262.601,-0.321182,0.156168,-0.00200142,-0.00649367,0.00572351
53230,-127.887,-263.139,-0.324236,0.151165,-0.00244668,-0.00680839,0.00634858
53231,-126.784,-263.673,-0.327288,0.146289,-0.00295195,-0.00709486,0.00697434
53232,-125.678,-264.201,-0.330347,0.141536,-0.00351658,-0.0073528,0.00759734
53233,-124.57,-264.726,-0.333418,0.136899,-0.00413935,-0.00758214,0.0082144
53234,-123.46,-265.245,-0.336509,0.132374,-0.00481853,-0.00778294,0.00882265
53235,-122.348,-265.76,-0.339626,0.127953,-0.00555201,-0.00795538,0.00941946
53236,-121.234,-266.27,-0.342776,0.12363,-0.00633734,-0.00809978,0.0100024
53237,-120.118,-266.775,-0.345965,0.119395,-0.00717177,-0.00821653,0.0105693
53238,-118.999,-267.276,-0.349198,0.115242,-0.0080524,-0.00830607,0.0111182
53239,-117.878,-267.772,-0.352482,0.111163,-0.00897613,-0.00836893,0.0116472
53240,-116.756,-268.264,-0.355822,0.107148,-0.00993976,-0.00840563,0.0121546
