radius_ед. длины,relative_angle_deg,sigma_rr_mpa,sigma_tt_mpa,radial_displacement_ед. длины
296.4576228762023,0.0997892726016769,-2.4808800202914016e-06,-5.03995241100765e-07,2.4695128191409994
296.4576228762024,0.19961255778576256,-2.480508828650833e-06,-5.040085127988746e-07,2.4844856200920575
296.4576228762024,-0.199612557786017,-2.480508828650072e-06,-5.040085127981753e-07,2.4308443205315626
296.66430559161734,-1.0177774980683254e-13,-2.4812988033645984e-06,-5.11584966599622e-07,2.4285531233551034
296.6643055916174,0.1944005852365974,-2.480829016841744e-06,-5.116027543774912e-07,2.456652843651563
296.6643055916174,0.09718309654965582,-2.4811813930392577e-06,-5.115894110790285e-07,2.4421056825570866
296.6643055916174,-0.19440058523685186,-2.480829016842053e-06,-5.116027543776186e-07,2.4044121368027755
296.66430559161745,-0.09718309654991025,-2.481181393039332e-06,-5.115894110793709e-07,2.4159899125975
296.8697441435869,-0.09457539313034248,-2.48148307139837e-06,-5.191643002700694e-07,2.38953609293316
296.8697441435869,0.09457539313013894,-2.4814830713984604e-06,-5.191643002698176e-07,2.4149511019338767
296.8697441435869,0.18918555817482505,-2.4811490521696674e-06,-5.191776360945747e-07,2.429073966301668
296.8697441435869,-1.0177774980683254e-13,-2.4815943627388196e-06,-5.191598593572078e-07,2.4017735779216682
296.86974414358696,-0.18918555817507948,-2.4811490521691354e-06,-5.191776360938573e-07,2.3782346734242985
297.07395119955174,0.18396770070762078,-2.4814689634908467e-06,-5.26733017172405e-07,2.401746081588792
297.07395119955174,0.09196627440485612,-2.4817850873563606e-06,-5.267197647647349e-07,2.388046125702625
297.07395119955174,-1.0177774980683254e-13,-2.481890413728712e-06,-5.267153525765227e-07,2.3752433006619906
297.0739511995518,-0.09196627440505967,-2.481785087355611e-06,-5.267197647643666e-07,2.36333225804467
297.07395119955186,-0.1839677007078243,-2.4814689634901484e-06,-5.267330171715241e-07,2.352308963708237
297.2769442729846,-0.0893557852598306,-2.482087474132562e-06,-5.342556724787044e-07,2.337374825153657
297.2769442729846,-1.0177774980683254e-13,-2.4821869905851267e-06,-5.342513129992005e-07,2.348958705547752
297.2769442729846,0.08935578525962704,-2.4820874741326763e-06,-5.342556724785746e-07,2.361387183148338
297.2769442729847,0.17874710260016102,-2.4817887809194548e-06,-5.342687690838134e-07,2.374665652668456
297.2769442729847,-0.17874710260041546,-2.4817887809206834e-06,-5.34268769084838e-07,2.326631446676874
297.4787415068559,-1.0177774980683254e-13,-2.4824841196987823e-06,-5.417676543873964e-07,2.3229161511841534
297.47874150685595,-0.17352382478805684,-2.4821085263961117e-06,-5.41784810447054e-07,2.301198509030812
297.47874150685595,0.17352382478785328,-2.4821085263948916e-06,-5.417848104458464e-07,2.347829082627211
297.47874150685595,-0.08674395616462355,-2.4823902570080395e-06,-5.417719383769584e-07,2.3116601578445386
297.47874150685595,0.08674395616441999,-2.4823902570074546e-06,-5.417719383762783e-07,2.334970646044956
297.67935819210294,-0.16829798989588915,-2.4824282112563627e-06,-5.492810021464843e-07,2.276006923228878
297.67935819210294,0.1682979898956856,-2.4824282112568396e-06,-5.492810021467573e-07,2.3212331768875383
297.67935819210294,-1.0177774980683254e-13,-2.4827818173980388e-06,-5.492642326034643e-07,2.297112389440206
297.679358192103,0.08413084843615634,-2.4826934510656383e-06,-5.492684195671652e-07,2.3087932837702634
297.679358192103,-0.08413084843635989,-2.4826934510655e-06,-5.492684195671195e-07,2.286185009016201
